"memo_id","user_id","content","created_at","updated_at"
1,1,Prepare slides for the upcoming presentation next week.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
2,1,Order office supplies before the end of the month.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
3,2,Remember to send the project report by Friday.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
4,2,Check in with the new team member this week.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
5,3,"Grocery shopping list: milk, bread, eggs, fruits.","2024-10-23 09:43:49","2024-10-23 09:43:49"
6,3,Book tickets for the concert next month.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
7,1,Renew gym membership before it expires.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
8,2,Schedule a meeting with the finance team.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
9,3,Update resume and LinkedIn profile.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
10,1,Plan a weekend getaway for relaxation.,"2024-10-23 09:43:49","2024-10-23 09:43:49"
