"recurring_schedule_id","user_id","title","description","start_time","end_time","recurrence_pattern","next_occurrence","created_at"
1,1,Daily Standup,Quick daily meeting to sync up.,"09:00:00","09:15:00",daily,"2024-10-30 09:00:00","2024-10-23 09:43:49"
2,2,Weekly Yoga Class,Attend yoga class for wellness.,"18:00:00","19:00:00",weekly,"2024-10-31 18:00:00","2024-10-23 09:43:49"
3,3,Monthly Book Club,Discuss the book of the month.,"19:00:00","21:00:00",monthly,"2024-11-15 19:00:00","2024-10-23 09:43:49"
4,1,Quarterly Review,Review department performance.,"14:00:00","16:00:00",quarterly,"2024-12-01 14:00:00","2024-10-23 09:43:49"
5,2,Weekly Family Dinner,Gather for family dinner every Thursday.,"19:00:00","21:00:00",weekly,"2024-10-31 19:00:00","2024-10-23 09:43:49"
6,3,Bi-Weekly Team Lunch,Casual lunch with the team.,"12:00:00","13:00:00",biweekly,"2024-11-05 12:00:00","2024-10-23 09:43:49"
7,1,Monthly Networking Event,Attend networking events for professional growth.,"18:00:00","20:00:00",monthly,"2024-11-30 18:00:00","2024-10-23 09:43:49"
8,2,Daily Meditation,Practice meditation for mindfulness.,"07:00:00","07:30:00",daily,"2024-10-30 07:00:00","2024-10-23 09:43:49"
9,3,Weekly Podcast Recording,Record weekly podcast episodes.,"10:00:00","11:00:00",weekly,"2024-11-01 10:00:00","2024-10-23 09:43:49"
10,1,Monthly Maintenance Check,Schedule maintenance for home appliances.,"10:00:00","11:00:00",monthly,"2024-11-15 10:00:00","2024-10-23 09:43:49"
